player,team,games,kicks,marks,handballs,goals,behinds,hitouts,tackles
Rory Laird,Adelaide,23,271,83,364,2,5,0,132
Jordan Dawson,Adelaide,22,365,110,174,10,6,0,134
Jake Soligo,Adelaide,23,251,60,255,6,9,0,84
Mitch Hinge,Adelaide,22,317,107,168,2,3,0,55
Lachlan Sholl,Adelaide,20,293,105,139,12,6,0,45
Ben Keays,Adelaide,23,225,88,148,34,20,0,83
Mark Keane,Adelaide,21,270,113,83,0,1,0,22
Max Michalanney,Adelaide,23,212,122,130,0,1,0,67
Luke Nankervis,Adelaide,20,191,100,149,1,1,0,36
Josh Rachele,Adelaide,22,202,79,109,30,17,0,51
Izak Rankine,Adelaide,15,170,48,100,29,9,0,51
Darcy Fogarty,Adelaide,23,165,111,85,41,16,0,35
Sam Berry,Adelaide,18,123,26,125,4,2,0,91
Reilly O'Brien,Adelaide,21,132,49,110,2,3,898,77
Josh Worrell,Adelaide,13,155,67,78,0,0,0,19
Chayce Jones,Adelaide,16,148,48,83,6,4,0,45
Taylor Walker,Adelaide,18,143,100,49,29,20,16,25
Billy Dowling,Adelaide,9,95,48,58,4,1,0,17
Brayden Cook,Adelaide,15,83,33,56,12,5,0,22
James Borlase,Adelaide,10,60,46,45,1,1,6,16
Nick Murray,Adelaide,9,68,38,29,0,1,0,14
Riley Thilthorpe,Adelaide,7,53,32,25,15,6,26,12
Wayne Milera,Adelaide,3,34,14,12,0,0,0,6
Daniel Curtin,Adelaide,7,29,16,25,3,0,0,7
Lachie Neale,Brisbane Lions,26,353,120,409,13,7,0,86
Dayne Zorko,Brisbane Lions,27,566,213,145,9,6,0,86
Josh Dunkley,Brisbane Lions,27,335,150,348,6,6,2,167
Hugh McCluggage,Brisbane Lions,27,397,143,270,19,14,0,99
Jarrod Berry,Brisbane Lions,27,302,167,238,6,8,0,96
Darcy Wilmot,Brisbane Lions,27,370,133,164,0,3,0,46
Cam Rayner,Brisbane Lions,27,229,94,185,31,21,0,84
Jaspa Fletcher,Brisbane Lions,27,219,133,174,5,8,0,52
Ryan Lester,Brisbane Lions,27,289,175,99,0,1,0,48
Zac Bailey,Brisbane Lions,22,218,94,140,22,12,0,52
Harris Andrews,Brisbane Lions,26,250,195,99,0,0,0,36
Callum Ah Chee,Brisbane Lions,26,228,122,120,27,14,0,40
Kai Lohmann,Brisbane Lions,27,198,105,114,36,28,0,80
Will Ashcroft,Brisbane Lions,13,166,67,131,3,8,0,33
Charlie Cameron,Brisbane Lions,27,230,109,58,44,30,0,58
Eric Hipwood,Brisbane Lions,24,193,134,66,33,21,4,31
Brandon Starcevich,Brisbane Lions,21,184,90,55,1,1,0,38
Noah Answerth,Brisbane Lions,16,122,54,74,0,0,0,65
Logan Morris,Brisbane Lions,19,113,66,42,24,15,0,12
Bruce Reville,Brisbane Lions,12,95,42,34,4,2,0,19
Darcy Gardiner,Brisbane Lions,7,36,18,21,3,2,0,13
Darcy Fort,Brisbane Lions,3,22,7,11,1,2,59,11
Levi Ashcroft,Brisbane Lions,4,13,6,18,0,0,0,5
Sam Draper,Brisbane Lions,0,0,0,0,0,0,0,0
Jack Payne,Brisbane Lions,18,143,101,39,0,0,2,24
Sam Marshall,Brisbane Lions,0,0,0,0,0,0,0,0
Conor McKenna,Brisbane Lions,18,202,77,32,0,2,0,10
Patrick Cripps,Carlton,24,266,63,426,17,6,20,129
Sam Walsh,Carlton,20,268,60,300,5,9,0,135
George Hewett,Carlton,22,235,61,279,7,1,0,101
Matthew Kennedy,Carlton,24,245,105,179,16,10,12,81
Adam Cerra,Carlton,13,139,32,113,4,3,0,47
Blake Acres,Carlton,23,293,138,223,13,12,0,64
Oliver Hollands,Carlton,23,203,87,119,5,4,0,79
Adam Saad,Carlton,18,217,70,113,1,1,0,40
