Stats downloaded from Daily Fantasy Sports Australia (@DFSAustralia),,,,,,,,,,,,,,,,,,,,,
Help us to continue providing free content by buying a beer: https://ko-fi.com/dfsaustralia,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
player,team,opponent,year,round,kicks,handballs,marks,tackles,hitouts,ruckContests,freesFor,freesAgainst,goals,behinds,cbas,kickins,kickinsPlayon,tog,fantasyPoints,superCoachPoints,namedPosition
Dayne Zorko,BRL,SYD,2024,28,23,3,10,6,0,0,1,1,0,0,0,5,5,88,127,119,BPL
Josh Dunkley,BRL,SYD,2024,28,12,9,8,11,0,0,2,0,0,0,27,0,0,81,124,115,RR
Lachie Neale,BRL,SYD,2024,28,15,20,8,3,0,0,1,1,0,0,28,0,0,89,119,149,R
Will Ashcroft,BRL,SYD,2024,28,14,16,5,3,0,0,2,0,1,0,13,0,0,82,109,128,C
Jarrod Berry,BRL,SYD,2024,28,16,4,10,3,0,0,2,2,1,0,0,0,0,75,100,110,HFFR
Kai Lohmann,BRL,SYD,2024,28,8,7,5,4,0,0,0,0,4,0,0,0,0,75,93,110,INT
Hugh McCluggage,BRL,SYD,2024,28,12,9,5,6,0,0,0,2,1,0,23,0,0,84,93,102,WR
Callum Ah Chee,BRL,SYD,2024,28,10,4,6,2,0,0,1,0,4,1,0,0,0,81,90,109,FPR
Ryan Lester,BRL,SYD,2024,28,13,2,11,4,0,0,0,1,0,0,0,0,0,78,89,85,HBFR
Brandon Starcevich,BRL,SYD,2024,28,14,2,8,4,0,0,0,0,0,0,0,0,0,87,86,101,HBFL
Joe Daniher,BRL,SYD,2024,28,15,1,8,1,1,22,0,3,2,4,11,0,0,100,83,116,CHF
Cam Rayner,BRL,SYD,2024,28,9,7,9,1,0,0,0,0,1,0,2,0,0,74,78,47,HFFL
Charlie Cameron,BRL,SYD,2024,28,13,1,6,2,0,0,3,0,1,2,0,0,0,83,78,62,FPL
Harris Andrews,BRL,SYD,2024,28,12,4,10,0,0,0,1,0,0,0,0,0,0,92,75,91,FB
Darcy Wilmot,BRL,SYD,2024,28,12,3,8,2,0,0,0,0,0,0,0,0,0,83,74,66,INT
Jaspa Fletcher,BRL,SYD,2024,28,13,5,7,1,0,0,0,0,0,0,0,0,0,71,74,63,WL
Noah Answerth,BRL,SYD,2024,28,12,3,6,3,0,0,0,0,0,0,0,0,0,80,72,74,BPR
Zac Bailey,BRL,SYD,2024,28,12,5,7,1,0,0,0,0,0,0,0,0,0,80,71,83,INT
Darcy Fort,BRL,SYD,2024,28,9,3,2,3,19,58,2,2,0,1,20,0,0,70,67,68,RK
Logan Morris,BRL,SYD,2024,28,8,2,6,1,0,0,1,0,2,1,0,0,0,66,64,76,INT
Jack Payne,BRL,SYD,2024,28,10,1,8,2,0,0,0,0,0,0,0,1,1,92,64,62,CHB
Eric Hipwood,BRL,SYD,2024,28,5,4,3,1,0,4,0,1,1,0,0,0,0,78,39,50,FF
Conor McKenna,BRL,SYD,2024,28,3,0,2,0,0,0,0,0,0,0,0,0,0,10,15,12,SUB
Brodie Grundy,SYD,BRL,2024,28,8,14,3,2,36,63,2,2,0,0,24,0,0,75,101,129,RK
Errol Gulden,SYD,BRL,2024,28,18,6,5,4,0,0,1,2,0,0,8,0,0,92,92,75,HFFR
Robbie Fox,SYD,BRL,2024,28,13,8,6,3,0,0,0,1,1,0,0,1,0,93,88,124,INT
Chad Warner,SYD,BRL,2024,28,18,3,5,1,0,0,0,0,1,1,18,0,0,77,86,77,C
James Rowbottom,SYD,BRL,2024,28,13,5,3,4,0,0,4,0,1,1,23,0,0,74,85,112,R
Luke Parker,SYD,BRL,2024,28,10,4,2,6,0,0,0,1,3,0,13,0,0,94,83,57,HFFL
Jake Lloyd,SYD,BRL,2024,28,12,7,7,2,0,0,1,0,0,0,0,1,1,86,80,87,HBFL
Nick Blakey,SYD,BRL,2024,28,14,3,8,1,0,0,1,0,0,1,0,2,2,89,78,64,BPR
Oliver Florent,SYD,BRL,2024,28,14,10,5,1,0,0,0,1,0,0,3,4,3,90,78,52,WR
Matt Roberts,SYD,BRL,2024,28,11,8,5,3,0,0,0,1,0,0,0,3,3,77,73,87,INT
James Jordon,SYD,BRL,2024,28,10,3,5,4,0,0,1,1,0,0,2,0,0,90,65,39,WL
Dane Rampe,SYD,BRL,2024,28,9,4,5,2,0,0,0,0,0,0,0,0,0,80,58,79,BPL
Isaac Heeney,SYD,BRL,2024,28,8,6,4,1,0,0,0,0,1,0,19,0,0,62,58,30,RR
Hayden McLean,SYD,BRL,2024,28,4,3,4,2,6,21,1,1,0,1,7,0,0,77,43,30,INT
Justin McInerney,SYD,BRL,2024,28,5,5,4,1,0,0,0,0,0,0,6,1,1,70,41,45,INT
Tom Papley,SYD,BRL,2024,28,7,3,2,1,0,0,0,1,1,1,1,0,0,85,41,35,FPL
Harry Cunningham,SYD,BRL,2024,28,4,4,5,1,0,0,0,2,0,0,0,0,0,85,33,32,CHB
Braeden Campbell,SYD,BRL,2024,28,3,1,2,3,0,0,0,0,0,0,0,0,0,43,29,13,SUB
Joel Amartey,SYD,BRL,2024,28,3,4,3,0,0,0,1,0,0,0,0,0,0,80,27,21,FF
Will Hayward,SYD,BRL,2024,28,3,3,1,2,0,0,0,2,1,0,0,0,0,76,26,17,FPR
Tom McCartin,SYD,BRL,2024,28,3,4,1,1,0,0,0,0,0,0,0,0,0,88,24,36,FB
Lewis Melican,SYD,BRL,2024,28,4,2,2,0,0,0,1,1,0,0,0,0,0,84,20,54,HBFR
Logan McDonald,SYD,BRL,2024,28,1,0,1,0,0,0,0,0,0,0,0,0,0,32,6,6,CHF
Dayne Zorko,BRL,GEE,2024,27,25,7,8,3,0,0,1,0,0,0,0,9,9,87,126,103,BPL
Lachie Neale,BRL,GEE,2024,27,17,14,6,5,0,0,2,0,0,0,27,0,0,87,119,107,R
Josh Dunkley,BRL,GEE,2024,27,18,10,6,4,0,3,2,0,0,0,25,0,0,88,110,103,RR
Hugh McCluggage,BRL,GEE,2024,27,7,20,5,7,0,0,2,1,1,0,18,0,0,79,109,123,WR
Noah Answerth,BRL,GEE,2024,27,14,6,8,8,0,0,0,2,0,0,0,0,0,86,104,97,BPR
Cam Rayner,BRL,GEE,2024,27,14,4,5,5,0,0,0,1,2,2,4,0,0,88,96,96,HFFL
Darcy Wilmot,BRL,GEE,2024,27,14,10,8,0,0,0,0,0,0,0,0,3,3,71,86,84,INT
Zac Bailey,BRL,GEE,2024,27,13,6,3,2,0,0,1,1,2,2,1,0,0,79,80,92,INT
Ryan Lester,BRL,GEE,2024,27,13,7,5,3,0,0,1,1,0,0,0,1,1,90,78,96,HBFR
Charlie Cameron,BRL,GEE,2024,27,10,2,6,3,0,0,1,1,2,0,0,0,0,85,74,80,FPL
Kai Lohmann,BRL,GEE,2024,27,13,3,4,3,0,0,1,2,1,3,0,0,0,78,73,73,INT
Will Ashcroft,BRL,GEE,2024,27,10,12,3,1,0,0,2,0,0,1,15,0,0,84,70,74,C
Jarrod Berry,BRL,GEE,2024,27,7,13,2,4,0,0,1,0,0,0,0,0,0,74,70,88,HFFR
Jaspa Fletcher,BRL,GEE,2024,27,13,4,7,1,0,0,0,1,0,1,0,0,0,68,70,73,WL
Joe Daniher,BRL,GEE,2024,27,11,2,6,1,9,57,1,1,0,0,13,0,0,100,66,56,CHF
Brandon Starcevich,BRL,GEE,2024,27,10,5,7,1,0,0,1,0,0,0,0,0,0,87,66,63,HBFL
Callum Ah Chee,BRL,GEE,2024,27,5,6,3,2,0,0,0,2,3,0,0,0,0,88,56,80,FPR
Jack Payne,BRL,GEE,2024,27,8,3,4,2,0,0,2,0,0,0,0,0,0,89,52,74,CHB
Harris Andrews,BRL,GEE,2024,27,8,4,5,1,0,0,1,2,0,0,0,0,0,91,46,60,FB
Eric Hipwood,BRL,GEE,2024,27,7,3,5,1,0,2,0,3,1,0,0,0,0,74,43,46,FF
