player_id,player_name,club_name,club_id
116,Taylor Walker,Adelaide Crows,1
122,Brodie Smith,Adelaide Crows,1
806,Chris Burgess,Adelaide Crows,1
979,Rory Laird,Adelaide Crows,1
980,Matthew Crouch,Adelaide Crows,1
981,Reilly O'Brien,Adelaide Crows,1
982,Jordan Dawson,Adelaide Crows,1
983,Ben Keays,Adelaide Crows,1
984,Wayne Milera,Adelaide Crows,1
985,Mitchell Hinge,Adelaide Crows,1
986,Darcy Fogarty,Adelaide Crows,1
987,Lachlan Murphy,Adelaide Crows,1
988,Ned McHenry,Adelaide Crows,1
989,Mark Keane,Adelaide Crows,1
990,Izak Rankine,Adelaide Crows,1
992,Josh Worrell,Adelaide Crows,1
993,Sam Berry,Adelaide Crows,1
995,Luke Pedlar,Adelaide Crows,1
996,Lachlan Gollant,Adelaide Crows,1
997,Joshua Rachele,Adelaide Crows,1
998,Jake Soligo,Adelaide Crows,1
999,Patrick Parnell,Adelaide Crows,1
1000,James Borlase,Adelaide Crows,1
1001,Max Michalanney,Adelaide Crows,1
1002,Luke Nankervis,Adelaide Crows,1
1531,Elliott Himmelberg,Adelaide Crows,1
1534,Chayce Jones,Adelaide Crows,1
1580,William Hamill,Adelaide Crows,1
1603,Lachlan Sholl,Adelaide Crows,1
1615,Jordon Butts,Adelaide Crows,1
1661,Brayden Cook,Adelaide Crows,1
1777,Billy Dowling,Adelaide Crows,1
1788,Daniel Curtin,Adelaide Crows,1
1813,Kieran Strachan,Adelaide Crows,1
1814,Harry Schoenberg,Adelaide Crows,1
1819,Zac Taylor,Adelaide Crows,1
1822,Jack Hutchinson,Adelaide Crows,1
1845,Zac Taylor,Adelaide Crows,1
1846,Joel Freijah,Adelaide Crows,1
144,Ryan Lester,Brisbane Lions,2
682,Lachie Neale,Brisbane Lions,2
697,Jarryd Lyons,Brisbane Lions,2
707,Dayne Zorko,Brisbane Lions,2
719,Lincoln McCarthy,Brisbane Lions,2
867,Joe Daniher,Brisbane Lions,2
868,Charlie Cameron,Brisbane Lions,2
869,Darcy Gardiner,Brisbane Lions,2
870,Harris Andrews,Brisbane Lions,2
871,Conor McKenna,Brisbane Lions,2
872,Eric Hipwood,Brisbane Lions,2
873,Callum Ah Chee,Brisbane Lions,2
874,Josh Dunkley,Brisbane Lions,2
875,Hugh McCluggage,Brisbane Lions,2
876,Jarrod Berry,Brisbane Lions,2
