player_name,team_name
Ben Keays,ADE
Billy Dowling,ADE
Brayden Cook,ADE
Brodie Smith,ADE
Chayce Jones,ADE
Chris Burgess,ADE
Daniel Curtin,ADE
Darcy Fogarty,ADE
Elliott Himmelberg,ADE
Harry Schoenberg,ADE
Hugh Bond,ADE
Izak Rankine,ADE
Jake Soligo,ADE
James Borlase,ADE
Jordan Dawson,ADE
Jordon Butts,ADE
Josh Rachele,ADE
Josh Worrell,ADE
Kieran Strachan,ADE
Lachlan Gollant,ADE
Lachlan Murphy,ADE
Lachlan Sholl,ADE
Luke Nankervis,ADE
Luke Pedlar,ADE
Mark Keane,ADE
Matt Crouch,ADE
Max Michalanney,ADE
Mitchell Hinge,ADE
Ned McHenry,ADE
Nick Murray,ADE
Patrick Parnell,ADE
Reilly O'Brien,ADE
Riley Thilthorpe,ADE
Rory Laird,ADE
Sam Berry,ADE
Taylor Walker,ADE
Wayne Milera,ADE
Will Hamill,ADE
Zac Taylor,ADE
Brandon Ryan,BRL
Brandon Starcevich,BRL
Bruce Reville,BRL
Callum Ah Chee,BRL
Cam Rayner,BRL
Charlie Cameron,BRL
Conor McKenna,BRL
Darcy Fort,BRL
Darcy Gardiner,BRL
Darcy Wilmot,BRL
Darragh Joyce,BRL
Dayne Zorko,BRL
Deven Robertson,BRL
Eric Hipwood,BRL
Harris Andrews,BRL
Harry Sharp,BRL
Henry Smith,BRL
Hugh McCluggage,BRL
Jack Payne,BRL
James Tunstill,BRL
Jarrod Berry,BRL
Jarryd Lyons,BRL
Jaspa Fletcher,BRL
Jaxon Prior,BRL
Joe Daniher,BRL
Josh Dunkley,BRL
Kai Lohmann,BRL
Keidean Coleman,BRL
Lachie Neale,BRL
Lincoln McCarthy,BRL
Logan Morris,BRL
Noah Answerth,BRL
Oscar McInerney,BRL
Ryan Lester,BRL
Shadeau Brain,BRL
Will Ashcroft,BRL
Zac Bailey,BRL
Adam Cerra,CAR
Adam Saad,CAR
Alex Cincotta,CAR
Ashton Moir,CAR
Blake Acres,CAR
Brodie Kemp,CAR
Caleb Marchbank,CAR
Charlie Curnow,CAR
Cooper Lord,CAR
Corey Durdin,CAR
David Cuningham,CAR
