player,team
Bailey Smith,GEE
Max Gawn,MEL
Marcus Bontempelli,WBD
Nasiah Wanganeen-Milera,STK
Tim English,WBD
Jordan Dawson,ADE
Harry Sheezel,NTH
Nick Daicos,COL
Josh Dunkley,BRL
Brodie Grundy,SYD
Rowan Marshall,STK
Lachie Whitfield,GWS
Tristan Xerri,NTH
Connor Rozee,PTA
Jye Caldwell,ESS
Zach Merrett,ESS
Errol Gulden,SYD
Hugh McCluggage,BRL
Darcy Cameron,COL
Dayne Zorko,BRL
Matt Rowell,GCS
Andrew Brayshaw,FRE
Max Holmes,GEE
Jack Sinclair,STK
Lachie Ash,GWS
Zak Butters,PTA
Tom Liberatore,WBD
Noah Anderson,GCS
Finn Callaghan,GWS
George Hewett,CAR
Tom Green,GWS
Nic Martin,ESS
Isaac Heeney,SYD
Ed Richards,WBD
Matthew Kennedy,WBD
Jack Steele,MEL
Will Setterfield,ESS
Will Ashcroft,BRL
Adam Cerra,CAR
Luke Jackson,FRE
Lachie Neale,BRL
Josh Daicos,COL
Tim Taranto,RIC
Gryan Miers,GEE
Lloyd Meek,HAW
Sam Walsh,CAR
Christian Salem,MEL
Rory Laird,ADE
Caleb Serong,FRE
Jarrod Witts,GCS
Bailey Dale,WBD
Toby Nankervis,RIC
Touk Miller,GCS
Jack Macrae,STK
Reilly O'Brien,ADE
John Noble,GCS
Christian Petracca,GCS
Adam Treloar,WBD
Jordan Clark,FRE
Callum Mills,SYD
Clayton Oliver,GWS
Ollie Wines,PTA
Patrick Cripps,CAR
Karl Amon,HAW
Jack Viney,MEL
Shaun Mannagh,GEE
Chad Warner,SYD
Tom Atkins,GEE
Luke Davies-Uniacke,NTH
Hayden Young,FRE
Izak Rankine,ADE
Kysaiah Pickett,MEL
Jayden Short,RIC
Tom Powell,NTH
Luke Parker,NTH
Scott Pendlebury,COL
Jake Bowey,MEL
Jai Newcombe,HAW
Steele Sidebottom,COL
Archie Roberts,ESS
Brayden Fiorini,ESS
Mason Redman,ESS
Caleb Daniel,NTH
Jarrod Berry,BRL
Nick Blakey,SYD
Tom De Koning,STK
Jacob Hopper,RIC
Jack Crisp,COL
Jake Lloyd,SYD
Jeremy Cameron,GEE
Zac Bailey,BRL
Tom McCarthy,WCE
Jy Simpkin,NTH
Jaspa Fletcher,BRL
Riley Thilthorpe,ADE
Matt Roberts,SYD
Jake Soligo,ADE
Jack Graham,WCE
Trent Rivers,MEL
Sam Darcy,WBD
Jason Horne-Francis,PTA
Marcus Windhager,STK
Luke Ryan,FRE
Dylan Moore,HAW
Jordon Sweet,PTA
Toby Greene,GWS
Josh Kelly,GWS
Callum Wilkie,STK
Tom Stewart,GEE
Darcy Wilmot,BRL
Liam Baker,WCE
Ben Keays,ADE
Sam Banks,RIC
James Sicily,HAW
Liam Duggan,WCE
Dion Prestia,RIC
Matt Flynn,WCE
Xavier Duursma,ESS
James Rowbottom,SYD
Justin McInerney,SYD
Colby McKercher,NTH
Miles Bergman,PTA
Sam Durham,ESS
Harry McKay,CAR
Harry Himmelberg,GWS
Kane Farrell,PTA
James Peatling,ADE
Jordan De Goey,COL
Nick Vlastuin,RIC
Jarman Impey,HAW
Ned Long,COL
Bailey Williams,WBD
Zach Guthrie,GEE
Lachie Schultz,COL
Will Day,HAW
Oliver Hollands,CAR
Josh Ward,HAW
Nick Haynes,CAR
Joel Jeffrey,GCS
Brent Daniels,GWS
Zach Reid,ESS
Josh Worrell,ADE
Jack Ginnivan,HAW
Ryan Maric,WCE
Willem Drew,PTA
Zac Fisher,NTH
Andrew McGrath,ESS
Stephen Coniglio,GWS
Bradley Hill,STK
Levi Ashcroft,BRL
Ed Langdon,MEL
Jase Burgoyne,PTA
Jack Gunston,HAW
Conor Nash,HAW
Peter Wright,ESS
James Worpel,GEE
Blake Acres,CAR
Jack Ross,RIC
Jack Martin,GEE
Connor Idun,GWS
Oliver Dempsey,GEE
Lachlan Sholl,ADE
Darcy Parish,ESS
Steven May,MEL
Wayne Milera,ADE
Jake Waterman,WCE
Nic Newman,CAR
Aaron Naughton,WBD
Joel Freijah,WBD
Daniel Rioli,GCS
Paul Curtis,NTH
Mark Blicavs,GEE
Harry Morrison,HAW
Lawson Humphries,GEE
Matthew Johnson,FRE
Massimo D'Ambrosio,HAW
Kieren Briggs,GWS
Josh Battle,HAW
Cam Rayner,BRL
Shai Bolton,FRE
Sam Draper,BRL
Josh Weddle,HAW
Alex Neal-Bullen,ADE
Mitch Georgiades,PTA
Darcy Fort,BRL
Mason Wood,STK
Kade Chandler,MEL
Kyle Langford,ESS
Bailey Humphrey,GCS
Sam Flanders,STK
Jake Riccardi,GWS
Connor Macdonald,HAW
George Wardlaw,NTH
Jamie Elliott,COL
Mitchell Hinge,ADE
Adam Saad,CAR
Ryan Byrnes,STK
Patrick Lipinski,COL
James Harmes,WBD
Dan Houston,COL
Wil Powell,GCS
Harley Reid,WCE
Tom Cole,WCE
Brayden Maynard,COL
Lachlan Bramble,WBD
Ryan Angwin,GWS
Ryley Sanders,WBD
Max Hall,STK
Sam Davidson,WBD
Charlie Curnow,SYD
Jayden Laverde,GWS
Rhylee West,WBD
Hugo Garcia,STK
Jesse Hogan,GWS
Joe Richards,PTA
Daniel Curtin,ADE
Jack Silvagni,STK
Mark O'Connor,GEE
Rhys Stanley,GEE
Nathan O'Driscoll,FRE
Corey Wagner,FRE
Sean Darcy,FRE
Sam Powell-Pepper,PTA
Brady Hough,WCE
Marc Pittonet,CAR
Dylan Stephens,NTH
Darcy Wilson,STK
Patrick Dangerfield,GEE
Elliot Yeo,WCE
Cooper Sharman,STK
Bayley Fritsch,MEL
Lachlan Cowan,CAR
Tim Kelly,WCE
Jaeger O'Meara,FRE
Jordan Ridley,ESS
Bodhi Uwland,GCS
Harry Perryman,COL
Blake Hardwick,HAW
Josh Treacy,FRE
Harvey Langford,MEL
Mitch McGovern,CAR
Callum Ah Chee,ADE
Kane McAuliffe,RIC
Cam Mackenzie,HAW
Jaxon Prior,ESS
Sam Berry,ADE
Josh Rachele,ADE
Harris Andrews,BRL
Angus Clarke,ESS
Ben Long,GCS
Sam Clohesy,GCS
Angus Sheldrick,SYD
Darcy Jones,GWS
Tom Papley,SYD
Sam Taylor,GWS
Tyson Stengle,GEE
Taylor Walker,ADE
Jacob Weitering,CAR
Isaac Cumming,ADE
Hunter Clark,STK
Zac Williams,CAR
Shannon Neale,GEE
Ned Moyle,GCS
Tom Sparrow,MEL
Elijah Hewett,WCE
Nathan Broad,RIC
Luke McDonald,NTH
Mitch Owens,STK
Jack Henry,GEE
Isaac Quaynor,COL
Cooper Lord,CAR
Oliver Florent,CAR
Mabior Chol,HAW
Tom McDonald,MEL
Aaron Cadman,GWS
Darcy Fogarty,ADE
Riley Garcia,WBD
Jack Bowes,GEE
Michael Frederick,FRE
Brody Mihocek,MEL
Francis Evans,CAR
Luke Nankervis,ADE
Ben Ainsworth,CAR
Nick Larkey,NTH
Nick Bryan,ESS
Jack Hutchinson,WCE
Rhyan Mansell,RIC
Seth Campbell,RIC
Matthew Cottrell,CAR
Alex Davies,GCS
Jamie Cripps,WCE
Mattaes Phillipou,STK
Daniel Turner,MEL
Noah Answerth,BRL
Harry Cunningham,SYD
Ben Miller,RIC
Callum Brown,GWS
Cameron Zurhaar,NTH
Logan Morris,BRL
Tyler Sonsie,RIC
Xavier O'Halloran,GWS
Connor O'Sullivan,GEE
Ryan Lester,BRL
Liam Ryan,STK
Tom Brown,RIC
Aliir Aliir,PTA
Mani Liddy,PTA
James Jordon,SYD
Archie Perkins,ESS
Neil Erasmus,FRE
Riley Bice,SYD
Brodie Kemp,CAR
Hugo Ralphsmith,RIC
Braeden Campbell,SYD
Daniel McStay,COL
Darcy Byrne-Jones,PTA
Oskar Baker,WBD
Toby Bedford,GWS
Sam Wicks,SYD
Mac Andrew,GCS
Sam De Koning,GEE
Will Hayward,CAR
Jack Lukosius,PTA
Lachie Fogarty,CAR
Tom McCartin,SYD
Dane Rampe,SYD
Taylor Adams,SYD
Murphy Reid,FRE
Jack Buckley,GWS
Karl Worner,FRE
Rory Lobb,WBD
Sam Switkowski,FRE
Reuben Ginbey,WCE
Will Graham,GCS
Clay Hall,WCE
Aidan Corr,NTH
Eric Hipwood,BRL
Luke Trainor,RIC
Hugh Boxshall,STK
Mark Keane,ADE
Max Michalanney,ADE
Patrick Voss,FRE
Ewan Mackinlay,PTA
Jake Melksham,MEL
Lachie Weller,GCS
Judd McVee,FRE
Jack Payne,BRL
Beau McCreery,COL
Sam Lalor,RIC
Brad Close,GEE
Jy Farrar,GCS
Caleb Windsor,MEL
Jack Scrimshaw,HAW
Anthony Caminiti,STK
Finn O'Sullivan,NTH
Jade Gresham,ESS
Changkuoth Jiath,MEL
Jacob van Rooyen,MEL
Heath Chapman,FRE
Nate Caddy,ESS
Jake Stringer,GWS
Charlie Cameron,BRL
Keidean Coleman,BRL
Tylar Young,WCE
Bailey Banfield,FRE
Ivan Soldo,PTA
Campbell Chesser,CAR
Koltyn Tholstrup,MEL
Jake Lever,MEL
Noah Balta,RIC
Bailey J. Williams,WCE
Toby Conway,GEE
Tom Lynch,RIC
Xavier Lindsay,MEL
Hayden McLean,SYD
Jacob Wehr,PTA
Jack Higgins,STK
Jeremy Howe,COL
Sam Collins,GCS
Harry Rowston,GWS
Tim Membrey,COL
Luke Cleary,WBD
Dante Visentini,PTA
Conor McKenna,BRL
Jackson Mead,PTA
Harvey Thomas,GWS
Jack Darling,NTH
Peter Ladhams,SYD
Joel Amartey,SYD
Chayce Jones,ADE
Jesse Motlop,CAR
Liam Henry,STK
Ben King,GCS
Nicholas Madden,GWS
Jed Bews,GEE
Harrison Jones,ESS
Nick Watson,HAW
Oscar Allen,BRL
Billy Dowling,ADE
Joe Fonti,GWS
Corey Warner,SYD
Matthew Carroll,CAR
Logan Evans,PTA
Tanner Bruhn,GEE
Tyler Brockman,WCE
Esava Ratugolea,PTA
Jai Culley,MEL
Finn Maginness,HAW
Zak Johnson,ESS
Edward Allan,COL
Connor Budarick,WBD
Harrison Petty,MEL
Jeremy Sharp,FRE
Tyrell Dewar,WCE
Riley Hardeman,NTH
Buku Khamis,WBD
Charlie Comben,NTH
Cooper Trembath,NTH
Mason Cox,FRE
Christian Moraes,PTA
Toby Pink,NTH
Brandon Zerk-Thatcher,PTA
Mitch Knevitt,GEE
Caiden Cleary,SYD
Griffin Logue,NTH
Lewis Young,CAR
Isaac Kako,ESS
Liam Stocker,STK
Archer May,ESS
Sam Butler,HAW
Harvey Gallagher,WBD
Oisin Mullin,GEE
James Trezise,RIC
Jobe Shanahan,WCE
Kai Lohmann,BRL
Jordan Boyd,CAR
Conor Stone,GWS
Jack Williams,WCE
Taj Hotton,RIC
Lewis Melican,SYD
Bobby Hill,COL
Alex Pearce,FRE
Ned Reeves,HAW
Jack Buller,COL
James O'Donnell,WBD
Brandon Starcevich,WCE
Tobie Travaglia,STK
Jordan Croft,WBD
Josh Sinn,PTA
Dougal Howard,STK
Nick Coffield,WBD
Oscar McDonald,FRE
Bailey Scott,NTH
Darcy Moore,COL
Brennan Cox,FRE
Paddy Dow,STK
Sandy Brock,WCE
Bruce Reville,BRL
Lachlan Sullivan,COL
Matthew Owies,WCE
Blake Howes,MEL
Jamarra Ugle-Hagan,GCS
Max Ramsden,HAW
Will Brodie,PTA
Jacob Konstanty,NTH
Laitham Vandermeer,WBD
Ethan Read,GCS
Lincoln McCarthy,BRL
Lachie Jones,PTA
Jhye Clark,GEE
Saad El-Hawli,ESS
Flynn Young,CAR
Cody Weightman,WBD
Rhett Bazzo,WCE
Billy Frampton,COL
Matt Guelfi,ESS
Lachlan McNeil,WBD
Elijah Tsatas,ESS
Henry Hustwaite,HAW
Toby McMullin,GWS
Cooper Harvey,NTH
Alixzander Tauru,STK
Brandon Walker,FRE
Sam Marshall,BRL
Darcy Gardiner,BRL
Will Lorenz,PTA
Maurice Rioli,RIC
Luke Pedlar,ADE
Jake Kolodjashnij,GEE
Harry O'Farrell,CAR
Tom Barrass,HAW
Harry Edwards,WCE
Logan McDonald,SYD
Oliver Henry,GEE
Jye Amiss,FRE
Zac Taylor,ADE
Lucca Grego,WCE
Calsher Dear,HAW
Ashton Moir,CAR
Corey Durdin,PTA
Hamish Davis,WCE
Charlie Spargo,NTH
Billy Wilson,CAR
Mitch Lewis,HAW
George Stevens,GEE
Kaleb Smith,RIC
Joe Berry,PTA
Dan Butler,STK
Ben McKay,ESS
Lachlan Blakiston,ESS
Lewis Hayes,ESS
Jed Walter,GCS
Nick Murray,ADE
Vigo Visentini,ESS
Todd Marshall,PTA
Liam Reidy,CAR
Thomas Sims,RIC
Nik Cox,ESS
Nick Holman,GCS
Isaiah Dudley,FRE
Charlie Ballard,GCS
Andy Moniz-Wakefield,MEL
Isaac Keeler,STK
Lachlan Gulbin,GCS
Leek Aleer,GWS
Steely Green,RIC
Roan Steele,COL
Wil Dawson,NTH
James Borlase,ADE
Angus Hastie,STK
Max King,STK
Max Heath,MEL
Archer Reid,WCE
Elliott Himmelberg,GCS
Jonty Faull,RIC
Campbell Gray,RIC
Jack Henderson,MEL
Jack Whitlock,PTA
Lucas Camporeale,CAR
Jackson Archer,NTH
Jake Rogers,GCS
Max Gruzewski,GWS
Cody Angove,GWS
Tom Doedee,BRL
Noah Long,WCE
William Hayes,COL
Sam Sturt,FRE
Darragh Joyce,BRL
Malcolm Rosas,SYD
Willem Duursma,WCE
Joel Hamling,SYD
Jedd Busslinger,WBD
Robert Hansen Jr,NTH
Zeke Uwland,GCS
Brayden Cook,ADE
Tom Gross,WCE
Mykelti Lefau,RIC
Hudson O'Keeffe,CAR
Harry Dean,CAR
Finnbar Maley,ADE
Cooper Simpson,FRE
Cooper Duff-Tytler,WCE
Liam McMahon,ESS
Samson Ryan,RIC
Henry Smith,BRL
Dylan Patterson,GCS
Liam O'Connell,STK
Jack Carroll,STK
Joshua Draper,FRE
Daniel Annable,BRL
Arthur Jones,WBD
Tom Hanily,SYD
