Stats downloaded from DuzzaTip Script

player,team,opponent,year,round,kicks,handballs,marks,tackles,hitouts,ruckContests,freesFor,freesAgainst,goals,behinds,cbas,kickins,kickinsPlayon,tog,fantasyPoints,superCoachPoints,namedPosition
Adelaide Player 1,Adelaide,Brisbane,2025,1,10,5,9,1,23,31,1,2,1,1,9,2,1,81,101,92,Defender
Adelaide Player 2,Adelaide,Brisbane,2025,1,23,9,2,2,0,0,2,0,2,2,1,1,1,76,115,111,Midfielder
Adelaide Player 3,Adelaide,Brisbane,2025,1,22,6,3,4,0,0,1,2,2,0,6,0,0,88,115,103,Forward
Adelaide Player 4,Adelaide,Brisbane,2025,1,10,16,1,2,0,0,0,2,1,1,1,2,0,75,80,67,Forward
Adelaide Player 5,Adelaide,Brisbane,2025,1,16,7,1,3,0,0,1,2,0,1,6,2,0,90,78,79,Midfielder
Brisbane Player 1,Brisbane,Carlton,2025,1,20,4,1,1,21,16,2,2,2,0,4,0,0,77,108,102,Midfielder
Brisbane Player 2,Brisbane,Carlton,2025,1,13,6,9,8,0,0,0,2,1,1,7,0,1,92,117,103,Forward
Brisbane Player 3,Brisbane,Carlton,2025,1,6,3,4,5,0,0,0,2,0,2,6,0,1,89,58,53,Defender
Brisbane Player 4,Brisbane,Carlton,2025,1,20,15,10,1,0,0,1,1,0,1,9,0,1,90,125,139,Ruck
Brisbane Player 5,Brisbane,Carlton,2025,1,15,12,9,1,0,0,1,0,2,0,4,2,1,91,112,112,Ruck
Carlton Player 1,Carlton,Collingwood,2025,1,24,3,2,5,17,1,1,2,2,2,2,1,0,81,135,145,Defender
Carlton Player 2,Carlton,Collingwood,2025,1,8,11,1,5,0,0,0,1,2,2,9,0,0,85,83,83,Defender
Carlton Player 3,Carlton,Collingwood,2025,1,11,17,8,5,0,0,1,2,0,1,4,1,0,94,112,124,Ruck
Carlton Player 4,Carlton,Collingwood,2025,1,19,15,8,2,0,0,2,2,2,2,3,0,0,84,133,135,Defender
Carlton Player 5,Carlton,Collingwood,2025,1,14,10,5,2,0,0,2,1,2,0,0,0,0,78,97,103,Defender
Collingwood Player 1,Collingwood,Essendon,2025,1,24,4,1,8,11,0,2,1,0,1,1,2,0,86,127,120,Forward
Collingwood Player 2,Collingwood,Essendon,2025,1,23,8,3,8,0,0,0,2,1,0,9,1,0,82,132,122,Forward
Collingwood Player 3,Collingwood,Essendon,2025,1,24,7,4,8,0,0,0,2,0,2,3,0,1,94,132,128,Midfielder
Collingwood Player 4,Collingwood,Essendon,2025,1,14,11,10,2,0,0,0,1,1,0,7,0,1,93,108,113,Forward
Collingwood Player 5,Collingwood,Essendon,2025,1,18,17,7,2,0,0,1,2,0,0,0,1,1,86,117,108,Midfielder
Essendon Player 1,Essendon,Fremantle,2025,1,10,6,1,1,23,29,2,0,1,2,7,1,0,82,80,65,Forward
Essendon Player 2,Essendon,Fremantle,2025,1,5,11,8,4,0,0,1,2,2,2,0,1,0,78,91,81,Ruck
Essendon Player 3,Essendon,Fremantle,2025,1,15,11,9,3,0,0,2,1,0,0,8,2,0,79,106,105,Midfielder
Essendon Player 4,Essendon,Fremantle,2025,1,19,17,3,5,0,0,0,0,1,0,3,0,0,80,126,132,Defender
Essendon Player 5,Essendon,Fremantle,2025,1,15,17,9,1,0,0,0,0,2,1,4,0,1,92,123,122,Defender
