Stats downloaded from DuzzaTip Script

player,team,opponent,year,round,kicks,handballs,marks,tackles,hitouts,ruckContests,freesFor,freesAgainst,goals,behinds,cbas,kickins,kickinsPlayon,tog,fantasyPoints,superCoachPoints,namedPosition
Will Day,HAW,,2025,0,17,9,4,6,0,0,6,0,3,0,,,,,,,
Lloyd Meek,HAW,,2025,0,7,7,4,5,30,84,1,0,2,0,,,,,,,
Karl Amon,HAW,,2025,0,21,6,6,1,0,0,2,0,1,2,,,,,,,
Jack Scrimshaw,HAW,,2025,0,12,6,8,3,0,0,1,0,0,0,,,,,,,
James Sicily,HAW,,2025,0,15,5,8,0,0,0,2,2,1,0,,,,,,,
Jai Newcombe,HAW,,2025,0,9,10,1,7,0,0,1,3,1,0,,,,,,,
Cam Mackenzie,HAW,,2025,0,6,10,4,7,0,0,0,1,0,0,,,,,,,
Conor Nash,HAW,,2025,0,8,12,2,5,0,2,1,2,1,0,,,,,,,
Dylan Moore,HAW,,2025,0,10,8,3,1,0,0,2,0,2,1,,,,,,,
Massimo D'Ambrosio,HAW,,2025,0,16,3,6,1,0,0,0,1,0,0,,,,,,,
Harry Morrison,HAW,,2025,0,11,4,7,2,0,0,0,0,0,0,,,,,,,
Josh Battle,HAW,,2025,0,11,2,6,1,0,0,0,1,0,1,,,,,,,
Jack Ginnivan,HAW,,2025,0,9,7,1,3,0,0,1,1,0,1,,,,,,,
Finn Maginness,HAW,,2025,0,7,6,2,2,0,0,0,0,1,2,,,,,,,
Jarman Impey,HAW,,2025,0,10,2,7,0,0,0,0,1,0,0,,,,,,,
James Worpel,HAW,,2025,0,7,4,2,3,0,0,1,0,0,1,,,,,,,
Blake Hardwick,HAW,,2025,0,6,3,3,4,0,0,2,1,0,0,,,,,,,
Josh Weddle,HAW,,2025,0,8,4,3,1,1,2,1,0,0,0,,,,,,,
Mabior Chol,HAW,,2025,0,4,5,3,2,2,4,0,1,1,0,,,,,,,
Tom Barrass,HAW,,2025,0,6,3,6,1,0,0,1,2,0,0,,,,,,,
Connor Macdonald,HAW,,2025,0,5,3,2,2,0,0,0,1,1,0,,,,,,,
Nick Watson,HAW,,2025,0,1,3,1,2,0,0,0,3,0,0,,,,,,,
Sam Frost,HAW,,2025,0,2,1,0,0,0,0,1,1,0,0,,,,,,,
Matt Roberts,SYD,,2025,0,20,6,9,2,0,0,0,1,0,0,,,,,,,
Chad Warner,SYD,,2025,0,16,5,5,2,0,0,1,1,2,1,,,,,,,
Nick Blakey,SYD,,2025,0,21,5,3,0,0,0,2,0,1,0,,,,,,,
Isaac Heeney,SYD,,2025,0,9,12,1,7,0,1,1,1,0,0,,,,,,,
Jake Lloyd,SYD,,2025,0,11,8,3,4,0,0,2,0,0,0,,,,,,,
Sam Wicks,SYD,,2025,0,13,5,3,4,0,0,3,1,0,0,,,,,,,
Joel Amartey,SYD,,2025,0,7,4,4,2,1,6,2,0,3,1,,,,,,,
Brodie Grundy,SYD,,2025,0,3,8,2,1,40,81,0,2,0,0,,,,,,,
James Rowbottom,SYD,,2025,0,13,3,2,2,0,0,0,0,1,0,,,,,,,
Justin McInerney,SYD,,2025,0,11,5,6,2,0,4,1,4,0,1,,,,,,,
James Jordon,SYD,,2025,0,10,10,0,4,0,0,1,3,0,0,,,,,,,
Oliver Florent,SYD,,2025,0,9,7,3,2,0,0,2,2,0,2,,,,,,,
Lewis Melican,SYD,,2025,0,8,3,6,1,0,0,0,0,0,0,,,,,,,
Tom McCartin,SYD,,2025,0,7,0,7,1,0,0,1,1,1,1,,,,,,,
Dane Rampe,SYD,,2025,0,10,1,4,2,0,0,1,1,0,0,,,,,,,
Braeden Campbell,SYD,,2025,0,6,2,2,4,0,0,0,0,0,0,,,,,,,
Corey Warner,SYD,,2025,0,3,7,1,4,0,0,0,0,0,0,,,,,,,
Tom Papley,SYD,,2025,0,6,7,3,0,0,0,2,3,1,1,,,,,,,
Will Hayward,SYD,,2025,0,4,1,0,4,0,0,1,0,1,0,,,,,,,
Ben Paton,SYD,,2025,0,4,8,2,1,0,0,0,1,0,0,,,,,,,
Taylor Adams,SYD,,2025,0,4,4,3,0,0,0,0,1,1,0,,,,,,,
Angus Sheldrick,SYD,,2025,0,6,3,1,2,0,0,0,1,0,0,,,,,,,
Tom Hanily,SYD,,2025,0,2,4,1,3,0,0,1,0,0,0,,,,,,,
